Provincia; CREEMOS; ADN; MAS IPSP; FPV; PAN BOL; LIBRE 21; CC; JUNTOS; VOTO VALIDO; VOTO BLANCO; VOTO NULO; VOTO EMITIDO
Cercado                                 ;15.005;0;20.184;1.110;206;0;32.445;0;68.950;1.483;5.541;75.974
General José Ballivián;6.104;0;16.117;579;190;0;11.081;0;34.071;1.099;3.486;38.656
Iténez                                  ;1.799;0;2.728;66;46;0;3.541;0;8.180;201;434;8.815
Mamoré;974;0;1.484;34;25;0;2.002;0;4.519;135;306;4.960
Marbán;633;0;3.384;156;54;0;1.870;0;6.097;241;568;6.906
Moxos                                   ;649;0;5.503;137;64;0;2.276;0;8.629;424;501;9.554
Vaca Diez                               ;20.864;0;20.436;1.854;324;0;25.833;0;69.311;1.861;6.487;77.659
Yacuma                                  ;3.100;0;2.121;95;54;0;2.134;0;7.504;258;793;8.555
Azurduy                                 ;118;0;6.384;61;67;0;1.276;0;7.906;387;337;8.630
Belisario Boeto;57;0;2.989;119;31;0;1.230;0;4.426;220;252;4.898
Hernando Siles                          ;1.197;0;7.933;237;106;0;5.599;0;15.072;564;842;16.478
Luis Calvo                              ;978;0;4.102;88;55;0;2.382;0;7.605;345;467;8.417
Nor Cinti                               ;234;0;21.114;402;136;0;4.208;0;26.094;997;943;28.034
Oropeza                                 ;3.778;0;71.467;4.394;1.345;0;117.750;0;198.734;2.672;7.665;209.071
Sud Cinti;122;0;6.244;304;64;0;1.496;0;8.230;435;431;9.096
Tomina                                  ;143;0;10.453;139;68;0;2.970;0;13.773;398;570;14.741
Yamparáez;85;0;8.241;263;58;0;975;0;9.622;419;391;10.432
Zudáñez;79;0;9.525;171;66;0;1.290;0;11.131;372;523;12.026
Arani                                   ;63;0;9.293;94;33;0;1.316;0;10.799;236;286;11.321
Arque                                   ;22;0;7.630;47;21;0;67;0;7.787;87;165;8.039
Ayopaya                                 ;88;0;21.607;176;109;0;558;0;22.538;390;730;23.658
Bolivar                                 ;14;0;3.063;37;15;0;107;0;3.236;64;144;3.444
Campero                                 ;143;0;12.679;195;61;0;2.527;0;15.605;442;500;16.547
Capinota                                ;104;0;15.081;178;37;0;2.377;0;17.777;234;481;18.492
Carrasco                                ;377;0;88.754;277;92;0;2.296;0;91.796;744;1.044;93.584
Cercado                                 ;7.199;0;224.866;4.811;1.259;0;216.819;0;454.954;3.037;11.975;469.966
Chapare                                 ;1.665;0;133.177;1.610;377;0;45.748;0;182.577;1.284;3.892;187.753
Esteban Arze                            ;106;0;15.921;192;57;0;1.845;0;18.121;322;561;19.004
Germán Jordán;150;0;16.192;247;56;0;3.351;0;19.996;313;616;20.925
Mizque                                  ;81;0;14.574;91;32;0;1.118;0;15.896;313;384;16.593
Punata                                  ;365;0;26.934;449;134;0;7.294;0;35.176;585;1.245;37.006
Quillacollo                             ;2.879;0;149.144;3.295;867;0;85.518;0;241.703;2.305;7.445;251.453
Tapacarí;32;0;9.719;45;28;0;92;0;9.916;138;249;10.303
Tiraque                                 ;68;0;24.752;123;38;0;793;0;25.774;322;362;26.458
Abel Iturralde                          ;316;0;4.012;240;47;0;2.607;0;7.222;240;514;7.976
Aroma                                   ;200;0;39.211;583;438;0;2.382;0;42.814;1.118;1.337;45.269
Bautista Saavedra                       ;32;0;4.030;109;40;0;281;0;4.492;189;198;4.879
Camacho                                 ;106;0;18.343;398;191;0;985;0;20.023;1.101;777;21.901
Caranavi                                ;174;0;24.324;762;130;0;3.737;0;29.127;628;910;30.665
Franz Tamayo                            ;145;0;6.507;463;135;0;2.037;0;9.287;482;743;10.512
General José Manuel Pando;9;0;2.004;35;29;0;72;0;2.149;43;51;2.243
Gualberto Villarroel                    ;16;0;6.206;62;34;0;227;0;6.545;87;125;6.757
Ingavi                                  ;399;0;62.555;1.156;617;0;7.985;0;72.712;1.304;2.545;76.561
Inquisivi                               ;136;0;22.596;402;350;0;2.299;0;25.783;672;992;27.447
Larecaja                                ;498;0;25.975;1.138;404;0;4.371;0;32.386;1.490;1.591;35.467
Loayza                                  ;77;0;18.464;224;195;0;623;0;19.583;451;444;20.478
Los Andes                               ;147;0;34.761;595;330;0;1.531;0;37.364;1.613;1.255;40.232
Manco Kapac                             ;81;0;9.219;212;95;0;979;0;10.586;330;338;11.254
Muñecas                                 ;54;0;7.481;234;114;0;380;0;8.263;357;409;9.029
Murillo                                 ;8.999;0;784.362;19.551;6.399;0;428.630;0;1.247.941;8.568;32.390;1.288.899
Nor Yungas                              ;170;0;12.223;305;155;0;6.741;0;19.594;402;794;20.790
Omasuyos                                ;244;0;32.658;1.036;513;0;3.185;0;37.636;892;1.746;40.274
Pacajes                                 ;89;0;15.644;298;281;0;945;0;17.257;408;656;18.321
Sud Yungas                              ;427;0;32.374;960;535;0;16.142;0;50.438;1.234;2.017;53.689
Abaroa;126;0;14.959;527;161;0;2.027;0;17.800;456;777;19.033
Carangas                                ;9;0;4.383;75;39;0;355;0;4.861;119;95;5.075
Cercado                                 ;2.295;0;121.752;4.713;2.026;0;87.850;0;218.636;2.578;6.773;227.987
Ladislao Cabrera                        ;11;0;5.114;69;51;0;217;0;5.462;139;162;5.763
Litoral                                 ;27;0;1.345;52;21;0;604;0;2.049;47;34;2.130
Mejillones                              ;7;0;467;23;5;0;128;0;630;11;11;652
Nor Carangas                            ;8;0;2.109;44;31;0;229;0;2.421;96;67;2.584
Pantaleón Dalence;114;0;11.970;256;197;0;2.629;0;15.166;275;544;15.985
Poopó                                   ;53;0;5.581;131;192;0;1.186;0;7.143;199;235;7.577
Sabaya                                  ;21;0;2.566;180;66;0;1.196;0;4.029;96;123;4.248
Sajama                                  ;17;0;3.513;41;33;0;236;0;3.840;102;94;4.036
San Pedro de Totora                     ;2;0;2.063;18;23;0;77;0;2.183;50;63;2.296
Saucarí;10;0;2.353;44;32;0;307;0;2.746;69;72;2.887
Sebastián Pagador;30;0;3.534;72;39;0;440;0;4.115;115;138;4.368
Sur Carangas;8;0;2.545;39;17;0;154;0;2.763;77;33;2.873
Tomás Barrón;8;0;2.198;17;7;0;177;0;2.407;46;37;2.490
Abuná;351;0;944;11;6;0;297;0;1.609;23;65;1.697
Federico Román;678;0;1.442;20;8;0;536;0;2.684;70;85;2.839
Madre de Dios                           ;1.737;0;4.865;105;36;0;1.864;0;8.607;206;326;9.139
Manuripi                                ;1.641;0;3.632;88;19;0;1.332;0;6.712;204;256;7.172
Nicolás Suárez;10.410;0;15.000;801;88;0;10.606;0;36.905;599;1.428;38.932
Alonso de Ibáñez;52;0;10.025;124;64;0;577;0;10.842;331;343;11.516
Antonio Quijarro                        ;505;0;15.567;866;426;0;7.805;0;25.169;666;1.659;27.494
Bustillo;382;0;30.404;857;761;0;10.284;0;42.688;1.775;2.144;46.607
Chárcas;79;0;13.283;115;61;0;637;0;14.175;606;467;15.248
Chayanta                                ;192;0;25.242;516;351;0;1.587;0;27.888;2.540;1.473;31.901
Cornelio Saavedra                       ;355;0;14.539;635;292;0;2.273;0;18.094;1.133;1.032;20.259
Daniel Campos                           ;28;0;1.720;49;15;0;188;0;2.000;38;70;2.108
Enrique Baldivieso                      ;5;0;639;18;7;0;62;0;731;12;24;767
General Bernardino Bilbao;16;0;2.741;19;10;0;165;0;2.951;98;110;3.159
José María Linares;343;0;12.276;637;251;0;1.957;0;15.464;970;880;17.314
Modesto Omiste                          ;190;0;15.940;690;164;0;4.278;0;21.262;584;975;22.821
Nor Chichas                             ;189;0;9.783;375;151;0;1.535;0;12.033;592;586;13.211
Nor Lipez                               ;30;0;3.985;209;101;0;880;0;5.205;136;221;5.562
Sud Chichas;452;0;18.090;883;308;0;7.609;0;27.342;889;1.808;30.039
Sud Lipez;21;0;1.493;46;21;0;92;0;1.673;100;78;1.851
Tomás Frías;7.409;0;35.844;3.369;1.381;0;91.706;0;139.709;2.462;6.883;149.054
Andrés Ibáñez;534.980;0;335.244;10.401;2.262;0;191.237;0;1.074.124;8.537;42.708;1.125.369
Angel Sandoval                          ;2.235;0;2.618;79;44;0;1.172;0;6.148;250;514;6.912
Chiquitos                               ;15.453;0;9.453;287;102;0;5.957;0;31.252;463;1.541;33.256
Cordillera                              ;15.068;0;21.485;1.028;221;0;11.568;0;49.370;1.891;3.557;54.818
Florida                                 ;5.164;0;8.990;200;70;0;3.186;0;17.610;700;1.062;19.372
Germán Busch;10.393;0;6.366;213;57;0;3.497;0;20.526;371;1.349;22.246
Guarayos                                ;5.978;0;10.124;264;84;0;4.118;0;20.568;595;1.221;22.384
Ichilo                                  ;8.607;0;33.949;829;160;0;6.380;0;49.925;936;2.051;52.912
Manuel María Caballero;1.515;0;7.975;279;56;0;1.920;0;11.745;414;576;12.735
Ñuflo De Chávez;12.564;0;37.243;862;191;0;6.738;0;57.598;1.176;2.551;61.325
Obispo Santistéban;39.152;0;49.676;1.672;328;0;15.102;0;105.930;1.531;4.306;111.767
Sara                                    ;12.952;0;6.441;178;76;0;2.584;0;22.231;382;1.209;23.822
Vallegrande                             ;4.661;0;3.540;205;106;0;4.224;0;12.736;660;1.267;14.663
Velasco                                 ;17.419;0;9.069;404;148;0;5.346;0;32.386;1.021;2.543;35.950
Warnes                                  ;31.601;0;34.394;1.136;232;0;12.839;0;80.202;1.053;4.299;85.554
Arce                                    ;1.007;0;16.045;767;143;0;12.980;0;30.942;993;1.663;33.598
Avilés;238;0;6.495;275;68;0;3.209;0;10.285;452;662;11.399
Cercado                                 ;6.628;0;49.078;3.570;578;0;84.225;0;144.079;1.933;7.084;153.096
Gran Chaco                              ;7.296;0;38.125;1.655;319;0;37.162;0;84.557;2.157;4.130;90.844
Méndez;508;0;9.854;518;159;0;7.902;0;18.941;832;1.216;20.989
O' Connor;346;0;4.989;209;75;0;4.927;0;10.546;504;633;11.683
